D1	D2	RR	direction_yes_no	p5years	p.value.direction	AGE_AT_D1	counts	female_counts	CODE_DIFF_DAYS	death_counts
A08	A41	1.17679	1	4.99796643250353e-13	2.999674e-23	23771.26	1491	794	521.81	923
A08	A49	1.30909	1	1.07502454220899e-13	7.970787e-35	19953.38	634	323	620.86	292
A08	E73	2.04069	1	1.02309597806823e-12	2.113006e-15	6649.33	98	44	566.51	nan
A08	F00	1.5099	1	1.91196724839181e-13	3.539549e-09	29999.19	238	156	574.82	168
A08	F03	1.27448	1	4.02964853268612e-14	8.977443e-19	29983.61	770	534	553.02	602
A08	F33	1.43038	1	1.21499262410566e-12	4.573955e-23	24573.66	319	243	621.2	138
A08	J15	1.15832	1	6.04458492258136e-10	1.845961e-43	21489.1	1342	731	592.44	728
A08	K52	2.31286	1	1.08367036704195e-242	2.907609e-16	16553.5	1557	919	396.82	394
A08	K58	2.13854	1	7.95634656529641e-57	7.089444e-14	15595.1	441	312	589.34	41
A08	K59	1.30289	1	9.22480106238762e-56	8.025448e-80	14282.75	2605	1562	585.74	689
A08	K63	1.50681	1	8.04369104804987e-10	8.164996e-10	19535.63	196	120	553.37	75
A08	K90	1.84965	1	2.56483259213723e-20	1.102475e-13	8945.71	168	100	514.99	21
A08	N39	1.27057	1	9.36837040374441e-34	1.568851e-19	22897.5	1888	1323	548.91	912
A09	A04	4.93936	1	4.94065645841247e-324	1.983142e-34	20489.8	4635	2596	199.62	1686
A09	A41	1.24578	1	3.67484867969054e-97	7.939681e-50	23788.77	6043	3207	466.11	3661
A09	A49	1.17931	1	1.49399914468427e-22	4.801436e-107	20382.04	2479	1241	583.55	1017
A09	B96	1.35849	1	8.66772123297214e-12	2.213125e-19	21088.22	370	210	531.77	172
A09	E41	1.53328	1	7.68451560084707e-13	1.550882e-15	25294.17	204	134	494.43	130
A09	E55	1.3464	1	6.41936805820868e-21	4.737427e-26	23150.6	751	506	561.74	334
A09	E73	2.41432	1	4.78742912791764e-94	7.278213e-35	9258.84	451	273	488.37	25
A09	E83	1.27042	1	2.94167115933832e-15	2.354288e-23	23163.37	712	448	545.72	373
A09	F03	1.20885	1	3.17703416904861e-31	2.886e-79	29754	2540	1684	562.98	1948
A09	F12	1.45215	1	9.20122008112023e-10	1.246727e-12	10858.64	173	51	650.23	nan
A09	F17	1.25931	1	5.02310362388596e-30	9.122911e-50	17698.51	1572	855	528.42	342
A09	F33	1.30333	1	1.19857769575319e-30	1.973249e-38	23150.55	1219	852	608.77	454
A09	H92	1.40004	1	6.01558167380608e-16	1.339802e-52	3031.36	518	248	699.04	nan
